Time Period Start,Time Period End,Time Open,Time Close,Price Open,Price High,Price Low,Price Close,Volume Traded,Trades Count
2018-07-09T00:00:00.0000000Z,2018-07-16T00:00:00.0000000Z,2018-07-09T00:00:00.7540000Z,2018-07-15T23:59:56.1860000Z,82.21,83.74,74.11,78.51,1027034.706,258666
2018-07-02T00:00:00.0000000Z,2018-07-09T00:00:00.0000000Z,2018-07-02T00:00:08.0020000Z,2018-07-08T23:59:55.2730000Z,79.89,90,78.14,82.2,1142671.88,260648
2018-06-25T00:00:00.0000000Z,2018-07-02T00:00:00.0000000Z,2018-06-25T00:00:02.0790000Z,2018-07-01T23:59:59.1270000Z,80.6,84.5,72.43,79.89,1514570.082,337129
2018-06-18T00:00:00.0000000Z,2018-06-25T00:00:00.0000000Z,2018-06-18T00:00:02.7070000Z,2018-06-24T23:59:59.8820000Z,95.01,101.65,73.33,80.61,1599489.297,279398
2018-06-11T00:00:00.0000000Z,2018-06-18T00:00:00.0000000Z,2018-06-11T00:00:02.3960000Z,2018-06-17T23:59:54.5290000Z,106.97,109.02,88.69,95.01,1751420.886,274565
2018-06-04T00:00:00.0000000Z,2018-06-11T00:00:00.0000000Z,2018-06-04T00:00:01.4240000Z,2018-06-10T23:59:59.4320000Z,125,126.77,102.87,106.35,1062598.864,178078
2018-05-28T00:00:00.0000000Z,2018-06-04T00:00:00.0000000Z,2018-05-28T00:00:08.4840000Z,2018-06-03T23:59:59.6510000Z,117.68,128.04,108.25,125,1102597.175,194814
2018-05-21T00:00:00.0000000Z,2018-05-28T00:00:00.0000000Z,2018-05-21T00:00:05.1100000Z,2018-05-27T23:59:58.4370000Z,139.37,139.99,114.94,117.83,1211485.102,230044
2018-05-14T00:00:00.0000000Z,2018-05-21T00:00:00.0000000Z,2018-05-14T00:00:37.6560000Z,2018-05-20T23:59:54.2520000Z,144.43,153.12,128.89,139.38,1652787.24,294561
2018-05-07T00:00:00.0000000Z,2018-05-14T00:00:00.0000000Z,2018-05-07T00:00:01.6690000Z,2018-05-13T23:59:47.3790000Z,171.55,171.77,131.11,144.31,2065002.126,319969
2018-04-30T00:00:00.0000000Z,2018-05-07T00:00:00.0000000Z,2018-04-30T00:00:05.0000000Z,2018-05-06T23:59:58.1380000Z,153.39,183.58,142.73,171.56,2209044.348,362828
2018-04-23T00:00:00.0000000Z,2018-04-30T00:00:00.0000000Z,2018-04-23T00:00:08.0380000Z,2018-04-29T23:59:58.2410000Z,146.58,166.21,138.8,153.24,2708608.242,371484
2018-04-16T00:00:00.0000000Z,2018-04-23T00:00:00.0000000Z,2018-04-16T00:00:05.2520000Z,2018-04-22T23:59:50.2400000Z,132.52,157.1,125.11,146.59,2703319.991,345987
2018-04-09T00:00:00.0000000Z,2018-04-16T00:00:00.0000000Z,2018-04-09T00:00:01.3230000Z,2018-04-15T23:59:59.4480000Z,117.67,134.68,111,132.52,3010052.015,310774
2018-04-02T00:00:00.0000000Z,2018-04-09T00:00:00.0000000Z,2018-04-02T00:00:01.4730000Z,2018-04-08T23:59:56.9090000Z,114.95,159.65,111.63,117.67,2443482.183,297882
2018-03-26T00:00:00.0000000Z,2018-04-02T00:00:00.0000000Z,2018-03-26T00:00:05.1410000Z,2018-04-01T23:59:52.5580000Z,160.17,161.03,109,114.96,3665204.473,432294
2018-03-19T00:00:00.0000000Z,2018-03-26T00:00:00.0000000Z,2018-03-19T00:00:00.7280000Z,2018-03-25T23:59:58.8390000Z,154,175.99,150.46,160.18,2441725.492,340517
2018-03-12T00:00:00.0000000Z,2018-03-19T00:00:00.0000000Z,2018-03-12T00:00:00.0000000Z,2018-03-18T23:59:55.5840000Z,188.35,193.37,137.01,154,3380692.051,456039
2018-03-05T00:00:00.0000000Z,2018-03-12T00:00:00.0000000Z,2018-03-05T00:00:02.0000000Z,2018-03-11T23:59:52.1360000Z,213.17,216.4,157.27,188.33,3583723.148,539016
2018-02-26T00:00:00.0000000Z,2018-03-05T00:00:00.0000000Z,2018-02-26T00:00:00.0000000Z,2018-03-04T23:59:53.1050000Z,218.81,262,200.01,212.97,2916659.198,436463
2018-02-19T00:00:00.0000000Z,2018-02-26T00:00:00.0000000Z,2018-02-19T00:00:02.4930000Z,2018-02-25T23:59:59.8350000Z,214.31,252.63,182,218.86,5382599.118,702191
2018-02-12T00:00:00.0000000Z,2018-02-19T00:00:00.0000000Z,2018-02-12T00:00:00.7430000Z,2018-02-18T23:59:58.4160000Z,149.26,237.72,149.02,214.5,5867540.336,761160
2018-02-05T00:00:00.0000000Z,2018-02-12T00:00:00.0000000Z,2018-02-05T00:00:01.3990000Z,2018-02-11T23:59:52.6860000Z,147.51,169.72,103.02,149.26,7365505.53,875665
2018-01-29T00:00:00.0000000Z,2018-02-05T00:00:00.0000000Z,2018-01-29T00:00:03.6350000Z,2018-02-04T23:59:57.9670000Z,191.12,194.25,100.71,147.07,5082598.598,641758
2018-01-22T00:00:00.0000000Z,2018-01-29T00:00:00.0000000Z,2018-01-22T00:00:03.2070000Z,2018-01-28T23:59:58.4400000Z,190.93,195.85,163.48,191.12,2330289.356,440915
2018-01-15T00:00:00.0000000Z,2018-01-22T00:00:00.0000000Z,2018-01-15T00:00:01.0000000Z,2018-01-21T23:59:58.0720000Z,237.63,247.48,135,191.25,6187012.042,971804
2018-01-08T00:00:00.0000000Z,2018-01-15T00:00:00.0000000Z,2018-01-08T00:00:02.0000000Z,2018-01-14T23:59:54.1080000Z,271.12,290,216.02,239,3659506.764,774076
2018-01-01T00:00:00.0000000Z,2018-01-08T00:00:00.0000000Z,2018-01-01T00:00:03.1460000Z,2018-01-07T23:59:59.1190000Z,227.18,306.8,215.17,272.13,4473453.101,959925
2017-12-25T00:00:00.0000000Z,2018-01-01T00:00:00.0000000Z,2017-12-25T00:00:00.0310000Z,2017-12-31T23:59:57.5200000Z,278.81,287.4,200,227.17,4005489.242,857187
2017-12-18T00:00:00.0000000Z,2017-12-25T00:00:00.0000000Z,2017-12-18T00:00:01.2820000Z,2017-12-24T23:59:59.0000000Z,324.75,380,144,274.97,11506050.14,2138384
2017-12-11T00:00:00.0000000Z,2017-12-18T00:00:00.0000000Z,2017-12-11T00:00:00.8300000Z,2017-12-17T23:59:55.4200000Z,150.63,420,140.8,324.74,16847016.94,3176334
2017-12-04T00:00:00.0000000Z,2017-12-11T00:00:00.0000000Z,2017-12-04T00:00:01.8910000Z,2017-12-10T23:59:59.4330000Z,100.43,199,87.97,150.99,12143769.37,2078829
2017-11-27T00:00:00.0000000Z,2017-12-04T00:00:00.0000000Z,2017-11-27T00:00:00.4340000Z,2017-12-03T23:59:56.6380000Z,86.61,107.49,70.02,101.2,8491247.1,1432403
